Project,Type,Start,End,Completion,Total_Cost,Used_Cost,Remaining_Cost,Milestones
Project A,Analytics Project,2025-10-01,2025-10-31,34,10000,5000,5000,"[{""name"": ""Milestone 1"", ""status"": ""Completed"", ""due_date"": ""2025-10-01""}, {""name"": ""Milestone 2"", ""status"": ""Completed"", ""due_date"": ""2025-10-06""}, {""name"": ""Milestone 3"", ""status"": ""Completed"", ""due_date"": ""2025-10-11""}, {""name"": ""Milestone 4"", ""status"": ""Pending"", ""due_date"": ""2025-10-16""}, {""name"": ""Milestone 5"", ""status"": ""Completed"", ""due_date"": ""2025-10-21""}, {""name"": ""Milestone 6"", ""status"": ""Pending"", ""due_date"": ""2025-10-26""}]"
Project B,Website Development,2025-10-08,2025-11-10,81,12000,6500,5500,"[{""name"": ""Milestone 1"", ""status"": ""Pending"", ""due_date"": ""2025-10-08""}, {""name"": ""Milestone 2"", ""status"": ""Completed"", ""due_date"": ""2025-10-13""}, {""name"": ""Milestone 3"", ""status"": ""Completed"", ""due_date"": ""2025-10-18""}, {""name"": ""Milestone 4"", ""status"": ""Pending"", ""due_date"": ""2025-10-23""}]"
Project C,Marketing Campaign,2025-10-15,2025-11-20,71,14000,8000,6000,"[{""name"": ""Milestone 1"", ""status"": ""Completed"", ""due_date"": ""2025-10-15""}, {""name"": ""Milestone 2"", ""status"": ""Completed"", ""due_date"": ""2025-10-20""}, {""name"": ""Milestone 3"", ""status"": ""Completed"", ""due_date"": ""2025-10-25""}, {""name"": ""Milestone 4"", ""status"": ""Completed"", ""due_date"": ""2025-10-30""}, {""name"": ""Milestone 5"", ""status"": ""Pending"", ""due_date"": ""2025-11-04""}, {""name"": ""Milestone 6"", ""status"": ""Completed"", ""due_date"": ""2025-11-09""}]"
Project D,Mobile App,2025-10-22,2025-11-30,95,16000,9500,6500,"[{""name"": ""Milestone 1"", ""status"": ""Pending"", ""due_date"": ""2025-10-22""}, {""name"": ""Milestone 2"", ""status"": ""Pending"", ""due_date"": ""2025-10-27""}, {""name"": ""Milestone 3"", ""status"": ""Pending"", ""due_date"": ""2025-11-01""}, {""name"": ""Milestone 4"", ""status"": ""Completed"", ""due_date"": ""2025-11-06""}, {""name"": ""Milestone 5"", ""status"": ""Pending"", ""due_date"": ""2025-11-11""}, {""name"": ""Milestone 6"", ""status"": ""Pending"", ""due_date"": ""2025-11-16""}]"
Project E,Cloud Migration,2025-10-29,2025-12-10,42,18000,11000,7000,"[{""name"": ""Milestone 1"", ""status"": ""Pending"", ""due_date"": ""2025-10-29""}, {""name"": ""Milestone 2"", ""status"": ""Pending"", ""due_date"": ""2025-11-03""}, {""name"": ""Milestone 3"", ""status"": ""Completed"", ""due_date"": ""2025-11-08""}, {""name"": ""Milestone 4"", ""status"": ""Pending"", ""due_date"": ""2025-11-13""}, {""name"": ""Milestone 5"", ""status"": ""Completed"", ""due_date"": ""2025-11-18""}]"
Project F,E-commerce Platform,2025-11-05,2025-12-20,39,20000,12500,7500,"[{""name"": ""Milestone 1"", ""status"": ""Completed"", ""due_date"": ""2025-11-05""}, {""name"": ""Milestone 2"", ""status"": ""Completed"", ""due_date"": ""2025-11-10""}, {""name"": ""Milestone 3"", ""status"": ""Pending"", ""due_date"": ""2025-11-15""}]"
Project G,Internal Tool,2025-11-12,2025-12-30,33,22000,14000,8000,"[{""name"": ""Milestone 1"", ""status"": ""Pending"", ""due_date"": ""2025-11-12""}, {""name"": ""Milestone 2"", ""status"": ""Completed"", ""due_date"": ""2025-11-17""}, {""name"": ""Milestone 3"", ""status"": ""Pending"", ""due_date"": ""2025-11-22""}, {""name"": ""Milestone 4"", ""status"": ""Completed"", ""due_date"": ""2025-11-27""}]"
Project H,Data Pipeline,2025-11-19,2026-01-09,45,24000,15500,8500,"[{""name"": ""Milestone 1"", ""status"": ""Pending"", ""due_date"": ""2025-11-19""}, {""name"": ""Milestone 2"", ""status"": ""Completed"", ""due_date"": ""2025-11-24""}, {""name"": ""Milestone 3"", ""status"": ""Completed"", ""due_date"": ""2025-11-29""}, {""name"": ""Milestone 4"", ""status"": ""Pending"", ""due_date"": ""2025-12-04""}]"
Project I,Automation Script,2025-11-26,2026-01-19,67,26000,17000,9000,"[{""name"": ""Milestone 1"", ""status"": ""Completed"", ""due_date"": ""2025-11-26""}, {""name"": ""Milestone 2"", ""status"": ""Completed"", ""due_date"": ""2025-12-01""}, {""name"": ""Milestone 3"", ""status"": ""Completed"", ""due_date"": ""2025-12-06""}, {""name"": ""Milestone 4"", ""status"": ""Pending"", ""due_date"": ""2025-12-11""}, {""name"": ""Milestone 5"", ""status"": ""Completed"", ""due_date"": ""2025-12-16""}]"
Project J,Customer Portal,2025-12-03,2026-01-29,49,28000,18500,9500,"[{""name"": ""Milestone 1"", ""status"": ""Pending"", ""due_date"": ""2025-12-03""}, {""name"": ""Milestone 2"", ""status"": ""Pending"", ""due_date"": ""2025-12-08""}, {""name"": ""Milestone 3"", ""status"": ""Completed"", ""due_date"": ""2025-12-13""}, {""name"": ""Milestone 4"", ""status"": ""Completed"", ""due_date"": ""2025-12-18""}, {""name"": ""Milestone 5"", ""status"": ""Pending"", ""due_date"": ""2025-12-23""}]"
